@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
232,'2024/05/31 12:46:51:418',1,126,96,84,1
233,'2024/05/31 12:46:51:449',1,126,95,85,1
234,'2024/05/31 12:46:51:478',1,127,96,83,1
235,'2024/05/31 12:46:51:507',1,128,96,83,1
236,'2024/05/31 12:46:51:536',1,129,96,83,1
237,'2024/05/31 12:46:51:566',1,130,96,82,1
238,'2024/05/31 12:46:51:597',1,130,96,82,1
239,'2024/05/31 12:46:51:628',1,129,95,84,1
240,'2024/05/31 12:46:51:658',1,130,96,84,1
241,'2024/05/31 12:46:51:689',1,129,95,86,1
242,'2024/05/31 12:46:51:720',1,131,95,86,1
243,'2024/05/31 12:46:51:754',1,131,96,84,1
244,'2024/05/31 12:46:51:785',1,131,96,84,1
245,'2024/05/31 12:46:51:817',1,130,96,84,1
246,'2024/05/31 12:46:51:848',1,130,96,84,1
247,'2024/05/31 12:46:51:879',1,130,96,84,1
248,'2024/05/31 12:46:51:910',1,129,95,86,1
249,'2024/05/31 12:46:51:940',1,130,96,84,1
250,'2024/05/31 12:46:51:988',1,130,96,84,1
251,'2024/05/31 12:46:52:041',1,130,96,84,1
252,'2024/05/31 12:46:52:093',1,131,95,86,1
253,'2024/05/31 12:46:52:146',1,133,96,82,1
254,'2024/05/31 12:46:52:199',1,132,96,84,1
255,'2024/05/31 12:46:52:253',1,133,96,85,1
256,'2024/05/31 12:46:52:308',1,133,97,83,1
257,'2024/05/31 12:47:00:711',2,0,0,0,2
258,'2024/05/31 12:47:00:742',2,0,0,0,2
259,'2024/05/31 12:47:00:773',2,0,0,0,2
260,'2024/05/31 12:47:00:803',2,0,0,0,2
261,'2024/05/31 12:47:00:833',2,0,0,0,2
262,'2024/05/31 12:47:00:863',2,0,0,0,2
263,'2024/05/31 12:47:00:894',2,0,0,0,2
264,'2024/05/31 12:47:00:924',2,0,0,0,2
265,'2024/05/31 12:47:00:954',2,0,0,0,2
266,'2024/05/31 12:47:00:984',2,0,0,0,2
267,'2024/05/31 12:47:01:014',2,0,0,0,2
268,'2024/05/31 12:47:01:043',2,0,0,0,2
269,'2024/05/31 12:47:01:074',2,0,0,0,2
270,'2024/05/31 12:47:01:105',2,0,0,0,2
271,'2024/05/31 12:47:01:135',2,0,0,0,2
272,'2024/05/31 12:47:01:167',2,0,0,0,2
273,'2024/05/31 12:47:01:198',2,0,0,0,2
274,'2024/05/31 12:47:01:245',2,0,0,0,2
275,'2024/05/31 12:47:01:301',2,0,0,0,2
276,'2024/05/31 12:47:01:355',2,0,0,0,2
277,'2024/05/31 12:47:01:409',2,0,0,0,2
278,'2024/05/31 12:47:01:469',2,0,0,0,2
279,'2024/05/31 12:47:01:531',2,0,0,0,2
280,'2024/05/31 12:47:01:590',2,0,0,0,2
281,'2024/05/31 12:47:01:646',2,0,0,0,2
282,'2024/05/31 12:47:01:699',2,0,0,0,2
283,'2024/05/31 12:47:01:752',2,0,0,0,2
284,'2024/05/31 12:47:01:805',2,0,0,0,2
285,'2024/05/31 12:47:01:857',2,0,0,0,2
286,'2024/05/31 12:47:01:912',2,0,0,0,2
287,'2024/05/31 12:47:01:965',2,0,0,0,2
288,'2024/05/31 12:47:02:017',2,0,0,0,2
289,'2024/05/31 12:47:02:070',2,0,0,0,2
290,'2024/05/31 12:47:02:122',2,0,0,0,2
291,'2024/05/31 12:47:02:173',2,0,0,0,2
292,'2024/05/31 12:47:02:226',2,0,0,0,2
293,'2024/05/31 12:47:02:278',2,0,0,0,2
294,'2024/05/31 12:47:02:332',2,0,0,0,2
295,'2024/05/31 12:47:02:385',2,0,0,0,2
296,'2024/05/31 12:47:02:437',2,0,0,0,2
297,'2024/05/31 12:47:02:489',2,0,0,0,2
298,'2024/05/31 12:47:02:541',2,0,0,0,2
299,'2024/05/31 12:47:02:595',2,0,0,0,2
300,'2024/05/31 12:47:02:647',2,0,0,0,2
301,'2024/05/31 12:47:02:700',2,0,0,0,2
302,'2024/05/31 12:47:02:752',2,0,0,0,2
303,'2024/05/31 12:47:02:809',2,0,0,0,2
304,'2024/05/31 12:47:02:865',2,0,0,0,2
305,'2024/05/31 12:47:02:899',2,0,0,0,2
306,'2024/05/31 12:47:02:930',2,0,0,0,2
307,'2024/05/31 12:47:02:961',2,0,0,0,2
308,'2024/05/31 12:47:02:994',2,0,0,0,2
309,'2024/05/31 12:47:03:026',2,0,0,0,2
310,'2024/05/31 12:47:03:055',2,0,0,0,2
311,'2024/05/31 12:47:03:085',2,0,0,0,2
312,'2024/05/31 12:47:03:115',2,0,0,0,2
